Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
4	391	12.4077	115.809	91.1645	
4	408	12.4523	115.802	91.1417	
4	424	12.4499	115.851	91.1722	
4	441	12.4433	115.885	91.1426	
4	458	12.425	115.945	91.2003	
4	474	12.4985	115.937	91.1675	
4	491	12.4693	116.018	91.1801	
4	508	12.5246	116.018	91.1725	
4	524	12.4446	116.052	91.1621	
4	541	12.509	116.085	91.2029	
4	558	12.4585	116.112	91.1971	
4	574	12.4508	116.151	91.1619	
4	591	12.3956	116.213	91.1806	
4	608	12.4355	116.238	91.1361	
4	624	12.4271	116.267	91.1441	
4	641	12.4208	116.346	91.1143	
4	658	12.4022	116.37	91.1237	
4	674	12.3057	116.43	91.1621	
4	691	12.2835	116.506	91.1842	
4	708	12.2554	116.542	91.0976	
4	724	12.1796	116.602	91.1459	
4	741	12.1057	116.668	91.1073	
4	758	12.1155	116.699	91.0943	
4	774	12.0938	116.75	91.0671	
4	791	12.0416	116.814	91.1139	
4	808	11.9782	116.885	91.1062	
4	824	11.9776	116.903	91.0466	
4	841	11.8983	116.997	91.092	
4	858	11.8707	117.037	91.0814	
4	874	11.8072	117.115	91.0939	
4	891	11.7849	117.144	91.0989	
4	908	11.7182	117.212	91.0688	
4	924	11.7287	117.243	91.0857	
4	941	11.6293	117.319	91.1028	
4	958	11.6275	117.336	91.0776	
4	974	11.595	117.356	91.1046	
4	991	11.5843	117.452	91.0659	
4	1008	11.4623	117.494	91.1403	
4	1024	11.4798	117.499	91.0986	
4	1041	11.4266	117.538	91.0941	
4	1058	11.4174	117.606	91.1551	
4	1074	11.3495	117.603	91.13	
4	1091	11.4192	117.654	91.1065	
4	1108	11.4143	117.677	91.1509	
4	1124	11.4122	117.667	91.141	
4	1141	11.3895	117.714	91.1758	
4	1158	11.4046	117.746	91.1558	
4	1174	11.3448	117.763	91.2168	
4	1191	11.3714	117.771	91.1666	
4	1208	11.4347	117.802	91.1454	
4	1224	11.3791	117.812	91.1976	
4	1241	11.3869	117.834	91.21	
4	1258	11.4145	117.832	91.1886	
4	1274	11.4027	117.872	91.2144	
4	1291	11.4244	117.873	91.1699	
4	1308	11.4501	117.884	91.2092	
4	1324	11.4776	117.895	91.1642	
4	1341	11.5075	117.906	91.1368	
4	1358	11.5126	117.927	91.1643	
4	1374	11.5418	117.937	91.1343	
4	1391	11.5676	117.931	91.1023	
4	1408	11.5657	117.962	91.0894	
4	1424	11.5282	117.994	91.0776	
4	1441	11.5873	118.002	91.1169	
4	1458	11.552	118.033	91.0744	
4	1474	11.5783	118.044	91.0717	
4	1491	11.5312	118.044	91.0344	
4	1508	11.4797	118.064	91.0598	
4	1524	11.5232	118.095	91.0732	
4	1541	11.5121	118.117	91.0135	
4	1558	11.4772	118.144	91.0153	
4	1574	11.5509	118.178	91.0257	
4	1591	11.4844	118.184	91.0456	
4	1608	11.4759	118.233	91.0242	
4	1624	11.4501	118.181	91.0253	
4	1641	11.4346	118.217	91.0413	
4	1658	11.4231	118.228	91.0185	
4	1674	11.4578	118.23	90.9956	
4	1691	11.4068	118.249	91.0522	
4	1708	11.4296	118.26	91.0354	
4	1724	11.4085	118.245	91.0623	
4	1741	11.4062	118.22	91.0561	
4	1758	11.4135	118.231	91.0802	
4	1774	11.3507	118.249	91.1065	
4	1791	11.3619	118.234	91.1172	
4	1808	11.3526	118.214	91.0886	
4	1824	11.3343	118.193	91.1165	
4	1841	11.293	118.182	91.1342	
4	1858	11.2629	118.156	91.1054	
4	1874	11.2215	118.116	91.0574	
4	1891	11.2171	118.084	91.0462	
4	1908	11.1692	118.031	91.0048	
4	1924	11.0696	117.907	90.9092	
4	1941	11.027	117.822	90.8543	
4	1958	10.9664	117.784	90.7756	
4	1974	10.8808	117.697	90.7408	
4	1991	10.8593	117.563	90.6538	
4	2008	10.8691	117.473	90.507	
4	2024	10.8099	117.381	90.389	
4	2041	10.7644	117.285	90.307	
4	2058	10.6918	117.12	90.1345	
4	2074	10.6219	116.967	90.0427	
4	2091	10.5466	116.818	89.9137	
4	2108	10.4355	116.673	89.7612	
4	2124	10.4118	116.546	89.5781	
4	2141	10.106	116.297	89.1873	
4	2158	10.0775	116.142	88.9954	
4	2174	9.9453	115.962	88.836	
4	2191	9.8739	115.792	88.6925	
4	2208	9.72637	115.57	88.513	
4	2224	9.6418	115.325	88.3354	
4	2241	9.48441	115.095	88.1376	
4	2258	9.37277	114.86	87.8938	
4	2274	9.223	114.583	87.7836	
4	2291	9.08307	114.32	87.5707	
4	2308	8.93254	114.032	87.3506	
4	2324	8.71827	113.626	87.1316	
4	2341	8.55335	113.327	86.9073	
4	2358	8.33866	112.907	86.6717	
4	2374	8.17392	112.568	86.4284	
4	2391	7.94746	112.248	86.2151	
4	2408	7.80746	111.89	86.0729	
4	2424	7.62358	111.498	85.816	
4	2441	7.48393	111.123	85.5954	
4	2458	7.31862	110.73	85.3484	
4	2474	7.06707	110.291	85.145	
4	2491	6.94327	109.932	85.0152	
4	2508	6.7526	109.511	84.7139	
5	8	11.0092	119.04	88.8887	
5	-9	11.0802	119.025	88.8939	
5	24	11.0562	119.113	88.8699	
5	41	10.9661	119.154	88.8843	
5	58	10.9656	119.172	88.8583	
5	74	10.9253	119.216	88.8601	
5	91	10.9001	119.246	88.8381	
5	108	10.8742	119.26	88.816	
5	124	10.848	119.297	88.7928	
5	141	10.7955	119.413	88.8059	
5	158	10.767	119.443	88.7909	
5	174	10.7994	119.533	88.8517	
5	191	10.7612	119.532	88.8049	
5	208	10.753	119.578	88.8214	
5	224	10.7535	119.593	88.7828	
5	241	10.8077	119.641	88.8078	
5	258	10.7212	119.681	88.8241	
5	274	10.7403	119.69	88.8233	
5	291	10.7073	119.714	88.804	
5	308	10.6945	119.762	88.8299	
5	324	10.6932	119.782	88.7961	
5	341	10.6902	119.798	88.8169	
5	358	10.697	119.823	88.8143	
5	374	10.6967	119.844	88.8333	
5	391	10.6547	119.892	88.8454	
5	408	10.7017	119.888	88.8335	
5	424	10.689	119.928	88.8516	
5	441	10.6779	119.96	88.8297	
5	458	10.6565	120.011	88.8701	
5	474	10.7214	120.009	88.8583	
5	491	10.6713	120.071	88.8493	
5	508	10.7476	120.084	88.8551	
5	524	10.6623	120.111	88.8301	
5	541	10.7298	120.148	88.8874	
5	558	10.6569	120.158	88.8685	
5	574	10.6855	120.205	88.8241	
5	591	10.5893	120.242	88.8291	
5	608	10.6099	120.257	88.7812	
5	624	10.6217	120.301	88.8014	
5	641	10.6064	120.37	88.7597	
5	658	10.6027	120.407	88.7825	
5	674	10.5068	120.454	88.7984	
5	691	10.4978	120.54	88.829	
5	708	10.4267	120.555	88.7364	
5	724	10.3576	120.616	88.7781	
5	741	10.271	120.674	88.7326	
5	758	10.2816	120.705	88.7187	
5	774	10.2678	120.753	88.6829	
5	791	10.2193	120.816	88.7241	
5	808	10.1394	120.886	88.7353	
5	824	10.1478	120.901	88.6503	
5	841	10.0481	120.989	88.7096	
5	858	10.0324	121.026	88.672	
5	874	9.93318	121.094	88.7109	
5	891	9.93202	121.118	88.6721	
5	908	9.83516	121.182	88.6747	
5	924	9.86501	121.208	88.6488	
5	941	9.73619	121.281	88.6991	
5	958	9.73838	121.291	88.6513	
5	974	9.69353	121.312	88.6952	
5	991	9.69185	121.409	88.6417	
5	1008	9.54607	121.427	88.7035	
5	1024	9.56341	121.435	88.6662	
5	1041	9.49345	121.465	88.6573	
5	1058	9.46156	121.515	88.7056	
5	1074	9.40343	121.522	88.689	
5	1091	9.46557	121.57	88.6646	
5	1108	9.44332	121.571	88.691	
5	1124	9.47737	121.574	88.6779	
5	1141	9.46518	121.629	88.7161	
5	1158	9.43963	121.635	88.6839	
5	1174	9.38589	121.614	88.6983	
5	1191	9.4098	121.632	88.6648	
5	1208	9.43706	121.652	88.6531	
5	1224	9.39161	121.646	88.6799	
5	1241	9.39474	121.668	88.6974	
5	1258	9.39818	121.651	88.6721	
5	1274	9.37634	121.681	88.6916	
5	1291	9.38981	121.68	88.6512	
5	1308	9.40514	121.685	88.6897	
5	1324	9.4246	121.695	88.6507	
5	1341	9.43989	121.698	88.6236	
5	1358	9.43423	121.712	88.6497	
5	1374	9.45619	121.72	88.6255	
5	1391	9.47345	121.713	88.6	
5	1408	9.45991	121.734	88.5834	
5	1424	9.41586	121.76	88.5689	
5	1441	9.46146	121.767	88.6165	
5	1458	9.41695	121.787	88.5678	
5	1474	9.43766	121.8	88.5718	
5	1491	9.38797	121.796	88.5328	
5	1508	9.34266	121.811	88.5481	
5	1524	9.35015	121.827	88.5663	
5	1541	9.35079	121.866	88.5222	
5	1558	9.29808	121.877	88.5162	
5	1574	9.37643	121.91	88.5232	
5	1591	9.3233	121.935	88.5575	
5	1608	9.29195	121.957	88.5166	
5	1624	9.27427	121.902	88.5068	
5	1641	9.28069	121.957	88.5349	
5	1658	9.24936	121.959	88.5113	
5	1674	9.26389	121.946	88.4825	
5	1691	9.24093	121.985	88.5457	
5	1708	9.26409	122	88.5314	
5	1724	9.25243	121.987	88.5543	
5	1741	9.26486	121.968	88.5458	
5	1758	9.2672	121.98	88.5743	
5	1774	9.20806	121.995	88.5907	
